Covidence ID,Study ID,Title,Domain 1: Risk of bias arising from the randomization process,Domain 2: Risk of bias due to deviations from the intended interventions,Domain 3: Risk of bias due to missing outcome data,Domain 4: Risk of bias in measurement of the outcome,Domain 5: Risk of bias in selection of the reported result,Overall ROB,Reason if NA
3607,Wang 2017,"An open-label, randomized and comparative study to evaluate the efficacy and safety of cefoperazone/sulbactam in comparison to cefepime for the treatment of hospital acquired pneumonia and healthcare-associated pneumonia",NA,NA,NA,,NA,NA,Results only
1413,Saito 1992,[A comparative study of cefepime for chronic respiratory tract infections],NA - text in Chinese,NA - text in Chinese,NA - text in Chinese,NA - text in Chinese,NA - text in Chinese,NA,Text in Chinese
1414,Saito 1992,[A comparative study of cefepime for bacterial pneumonia],NA - text in Chinese,NA - text in Chinese,NA - text in Chinese,NA - text in Chinese,NA - text in Chinese,NA,Text in Chinese
2537,Barckow 1993,Cefepime versus cefotaxime in the treatment of lower respiratory tract infections,Some concerns,Some concerns,Low,Low,Low,Some concerns,
B97,Breen 1997, Cefepime versus Ceftazidime as empiric therapy of febrile episodes in neutropenic patients,"Some concerns. 1/3 was double blind, 1/3 was open label, 3rd study unknown",Some concerns,Low,Low,Low,Some concerns,
3333,Ponce-de-Leon 1999,Cefepime versus ceftazidime for the treatment of serious bacterial infections,Low,Low,Low,Low,Some concerns,Some concerns,
455,Cordero 2001,"Cefepime versus cefotaxime for empirical treatment of bacterial pneumonia in HIV-infected patients: an open, randomized trial",Low,Low,Low,Some concerns,Low,Some concerns,
3506,Talaie 2008,Cefepime/clindamycin vs. ceftriaxone/clindamycin for the empiric treatment of poisoned patients with aspiration pneumonia,Low,Low,Low. 10 were lost to F/U in cefepime group,Low,Some concerns - ITT vs PP not reported.,Some concerns,
1339,Raad 2003,Treatment of febrile neutropenic patients with cancer who require hospitalization: a prospective randomized study comparing imipenem and cefepime,Low,Low,Some concern; no mention on why 13% of participants were not evaluable ,Low,Low,Some concerns,
576,Erman 2001,"Comparison of cefepime and ceftazidime in combination with amikacin in the empirical treatment of high-risk patients with febrile neutropenia: a prospective, randomized, multicenter study",Low,Low,some concerns,Low,Low,Some concerns,
3070,Kwon 2008,Panipenem versus cefepime as empirical monotherapy in adult cancer patients with febrile neutropenia: A prospective randomized trial,Low,low risk ,low ,Some concerns,low,Some concerns,
3031,Kieft 1994,Cefepime compared with ceftazidime as initial therapy for serious bacterial infections and sepsis syndrome,Low,low risk ,Some concern,low,Some concern,Some concerns,
3225,Nakagawa 2013,"Prospective randomized study of cefepime, panipenem, or meropenem monotherapy for patients with hematological disorders and febrile neutropenia",Low,"some concern (""the doctor in charge of each patient decided if cipro or amikacin should be used' in adjunction to randomized Mero, panipenem or cefepime) this was one of their secondary endpoints ",Low,Low,Low,Some concerns,
2691,Cordonnier 1997,Cefepime/amikacin versus ceftazidime/amikacin as empirical therapy for febrile episodes in neutropenic patients: A comparative study,Low,Some concerns,Low,Low,Low,Some concerns,
2593,Bow 2006,"A randomized, open-label, multicenter comparative study of the efficacy and safety of piperacillin-tazobactam and cefepime for the empirical treatment of febrile neutropenic episodes in patients with hematologic malignancies",Low,Some concerns,Low,Some concerns,Low,Some concerns,
883,Kebudi 2001,Randomized comparison of cefepime versus ceftazidime monotherapy for fever and neutropenia in children with solid tumors,low,Some concerns,Low risk,Some concerns,low,Some concerns,
3408,Sanz 2002,"Cefepime plus amikacin versus pipercillin-tazobactam plus amikacin for initial antibiotic therapy in haematology patients with febrile neutropenia: Results of an open, randomized, multicentre trial",Low,Some concerns - therapy modification could be affected by unblinded status.,Low,Some concerns - unblinded status could impact assessment of success,Low,Some concerns,
1246,Oguz 2006,Experience with cefepime versus meropenem as empiric monotherapy for neutropenia and fever in pediatric patients with solid tumors,low ,Some concerns. More glycopeptides added in meropenem group (36% vs 25%). There were more gram positive isolates in that group,Low,Low,Low,Some concerns,
1736,Zervos 1998,Cefepime versus ceftriaxone for empiric treatment of hospitalized patients with community-acquired pneumonia. The Cefepime Study Group,some concern ,Low,Low,Low,Low,Some concerns,
1409,Saez-Llorens 1995,Prospective randomized comparison of cefepime and cefotaxime for treatment of bacterial meningitis in infants and children,Some concern - no details on allocation concealment,Low,Low,Low,Low,Some concerns,
3069,Kutluk 2004,Cefepime vs. Meropenem as Empirical Therapy for Neutropenic Fever in Children with Lymphoma and Solid Tumours,some concern (unclear how they randomized),low,low ,low,low ,Some concerns,
2497,Aufiero 1997,Cefepime versus ceftazidime in the treatment of lower respiratory tract infections,some concern; not sure if there was allocation concealment ,Low,Low,Low,Low,Some concerns,
2134,Beaucaire 1999,Phare study. Comparative study of the association cefepime-amikacin versus the association ceftazidime-amikacin in the treatment of nosocomial pneumonias in ventilated patients,Some concerns,Low,Low,Low,Low,Some concerns,
2829,Ghalaut 2007,Cefepime versus ceftazidime as empirical therapy for fever in neutropenic patients with haematological malignancies,Some concerns,Low,Low,Low,Low,Some concerns,
2861,Grossman 1999,"Treatment of community-acquired pneumonia in the elderly: The role of cefepime, a fourth-generation cephalosporin",Some concerns,Low,Low,Low,Low,Some concerns,
3337,Preheim 1995,"Randomized, double-blind comparison of cefepime and ceftazidime therapy for urinary tract infection",Some concerns,Low,Low,Low,Low,Some concerns,
4110,Cannavino 2015,"Safety and tolerability of doripenem in hospitalized children with complicated intra-abdominal infection, complicated urinary tract infections and pneumonia",some concerns,Low,Low,Low,Low,Some concerns,
2597,Bradley 2019,"Safety and Efficacy of Ceftazidime-Avibactam in the Treatment of Children >=3 Months to <18 Years with Complicated Urinary Tract Infection: Results from a Phase 2 Randomized, Controlled Trial",some concerns,Low,Low,Low,some concerns,Some concerns,
2846,Gomez 2010,"Low-dose beta-lactam plus amikacin in febrile neutropenia: Cefepime vs. piperacillin/tazobactam, a randomized trial",Some concerns,Low,Low,Low,Some concerns,Some concerns,
2645,Chang 1998,Efficacy and safety of cefepime treatment in Chinese patients with severe bacterial infections: In comparison with ceftazidime treatment,Some concerns,Low,Low,some concerns,Low,Some concerns,
2824,Gentry 1991,"Randomized comparison of cefepime and ceftazidime for treatment of skin, surgical wound, and complicated urinary tract infections in hospitalized subjects",some concerns,Low,Low,some concerns,Low,Some concerns,
2584,Bonfitto 1999,A randomized trial of cefepime and ceftazidime for the treatment of community-acquired pneumonia,Some concerns,Low,low risk,low,Low,Some concerns,
3651,Yakovlev 2006,Ertapenem versus cefepime for initial empirical treatment of pneumonia acquired in skilled-care facilities or in hospitals outside the intensive care unit,Some concerns,Low,Some concerns - 35% of randomized were not evaluated,Low,Low,Some concerns,
2689,Corapcioglu 2006,Monotherapy with piperacillin/tazobactam versus cefepime as empirical therapy for febrile neutropenia in pediatric cancer patients: A randomized comparison,some concerns,Some concerns,Low,Low,Low,Some concerns,
1410,Saez-Llorens 2001,Cefepime in the empiric treatment of meningitis in children,Some concerns,Some concerns. Evaluable subset = those who completed treatment course,Low,Low,Low,Some concerns,
2763,Edelstein 1991,A randomized trial of cefepime (BMY-28142) and ceftazidime for the treatment of pneumonia,some concerns ,Low,Low,Low,Low,Some concerns,
3254,Oi 2020,"Cefepime vs. meropenem for moderate-to-severe pneumonia in patients at risk for aspiration: An open-label, randomized study",Some concerns - 1:1 randomization not complete based on sample size in groups,Low,Low,Low,Low,Some concerns,
3407,Sano 2015,"Comparison between piperacillin/tazobactam and cefepime monotherapies as an empirical therapy for febrile neutropenia in children with hematological and malignant disorders: A prospective, randomized study",Some concerns - no details on randomization or allocation concealment,Some concerns - blinding not described,Low,Low,Low,Some concerns,
3240,Newton 1993,Randomized comparative study of cefepime and cefotaxime in the treatment of acute obstetric and gynaecological infections,Some concerns (8% vs 25% of mild infections between both arms) ,Low,Some concerns - >40% missing from evaluation.,Low,Low,Some concerns,
1028,Lin 2001,Efficacy of cefepime versus ceftazidime in the treatment of adult pneumonia,Some concerns. No specifications about randomization. More males in Ceftaz arm (70 vs 48%),Low,Low,Low,Low,Some concerns,
